States,Year,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,General Sales and Gross Receipts Taxes,Selective Sales and Gross Receipts Taxes,Alcoholic Beverages Sales Tax,Amusements Sales Tax,Insurance Premiums Sales Tax,Motor Fuels Sales Tax,Pari-mutuels Sales Tax,Public Utilities Sales Tax,Tobacco Products Sales Tax,Other Selective Sales and Gross Receipts Taxes,License Taxes,Alcoholic Beverages License,Amusements License,Corporations in General License,Hunting and Fishing License,Motor Vehicle License,Motor Vehicle Operators License,Public Utilities License,"Occupation and Business License, NEC",Other License Taxes,Income Taxes,Individual Income Taxes,Corporations Net Income Taxes,Other Taxes,Death and Gift Taxes,Documentarty and Stock Transfer Taxes,Severance Taxes,"Taxes, NEC"
United States,2016,929891144,18291411,441289331,292411243,148878088,6612056,7588813,20448622,43855057,121148,13291415,18009890,38951087,53903812,638031,549250,5608277,1595245,25548818,2596698,1249473,14702043,1415977,391758772,344732255,47026517,24647818,5133756,9169576,7720876,2623610
Alabama,2016,10022951,352378,5106102,2596223,2509879,210535,6,317657,526763,1401,695626,180301,577590,507479,4224,0,162117,22931,213550,33964,14443,56250,0,3966640,3492904,473736,90352,0,43730,46622,0
Alaska,2016,897369,111736,260846,0,260846,42430,10306,64400,48773,0,4027,67918,22992,120529,1919,0,0,29500,38000,0,838,46957,3315,67457,0,67457,336801,0,0,336801,0
Arizona,2016,13680421,943008,8315805,6300443,2015362,72281,0,545124,898234,160,22337,317331,159895,482362,7416,0,18342,35059,228970,31373,0,159454,1748,3906722,3336174,570548,32524,0,17328,15196,0
Arkansas,2016,9430833,1097908,4590072,3314363,1275709,55164,56031,192020,479879,2616,0,230527,259472,396891,4624,473,26703,26579,163023,21825,8351,143422,1891,3231617,2781458,450159,114345,3,38844,48340,27158
California,2016,155191714,2513157,51602180,39189007,12413173,368699,0,2561932,5000539,14537,714623,840034,2912809,10275132,57406,16767,75066,104698,3996089,296160,674660,5027281,27005,90655530,80753345,9902185,145715,330,0,68500,76885
Colorado,2016,13021449,0,5122992,2840173,2282819,43407,116374,277647,667037,620,0,201187,976547,702667,7367,821,19541,79664,504010,36751,14717,39628,168,7111711,6485602,626109,84079,0,0,84079,0
Connecticut,2016,15290134,0,6148944,3752793,2396151,56345,305057,208895,467749,6038,298858,350723,702486,455454,9356,230,28878,5200,224287,48719,675,133427,4682,8322645,7557153,765492,363091,195157,167132,0,802
Delaware,2016,3522301,0,539193,0,539193,20274,0,96279,125453,69,55394,111762,129962,1452596,1584,306,1274897,3030,54287,6738,0,105868,5886,1430520,1112368,318152,99992,9350,89527,0,1115
Florida,2016,37767500,0,30556402,22418257,8138145,396418,202942,705400,2611492,6921,2408133,1223029,583810,2241468,9132,18000,315059,17026,1552251,117146,25516,177077,10261,2272230,0,2272230,2697400,140,2662080,35180,0
Georgia,2016,21454961,961881,8408456,5480196,2928260,190536,0,428700,1655028,0,0,219870,434126,663946,3983,0,51050,26569,366897,108475,0,82123,24849,11420536,10439534,981002,142,0,142,0,0
Hawaii,2016,6919035,0,4315902,3206154,1109748,50590,0,157900,92591,0,152760,124890,531017,263130,0,0,1765,599,186742,349,20804,41566,11305,2224299,2116130,108169,115704,49613,66091,0,0
Idaho,2016,4209366,0,2120946,1559332,561614,9235,0,87727,337335,3666,1876,50574,71201,372883,1662,289,2502,39984,177260,11187,57166,79026,3807,1710234,1521238,188996,5303,0,0,5303,0
Illinois,2016,38907220,60814,18524265,11344480,7179785,287865,787519,424959,1354039,6420,1585911,844928,1888144,2745949,13097,15442,363019,40354,1695934,116222,4723,469273,27885,17173986,13806525,3367461,402206,325230,76976,0,0
Indiana,2016,17632420,10699,10662434,7306331,3356103,48310,578829,235024,845384,1958,214976,443210,988412,704869,12871,5912,9769,19362,294209,237329,0,43437,81980,6252533,5218166,1034367,1885,872,0,1013,0
Iowa,2016,9565099,1410,4597957,3162854,1435103,22423,298017,119571,689693,3666,35236,227901,38596,925958,15468,33156,46695,29246,610762,16750,12035,153278,8568,3930190,3553325,376865,109584,88759,20825,0,0
Kansas,2016,8058949,663841,4324953,3240354,1084599,133709,331,305631,450633,0,406,146552,47337,396648,3672,6379,27173,30568,219463,20189,4981,81617,2606,2623779,2231902,391877,49728,1,0,49727,0
Kentucky,2016,11646041,563435,5495366,3267331,2228035,131951,155,146481,850276,2965,63575,242232,790400,490985,6616,248,100367,28455,202663,16428,0,130826,5382,4821411,4069501,751910,274844,50976,3255,220613,0
Louisiana,2016,9498007,62273,5541241,3186614,2354627,63356,702573,518906,622234,4338,8618,121200,313402,400191,0,0,106104,30789,133362,14277,11678,99581,4400,3038035,2866456,171579,456267,0,0,456267,0
Maine,2016,4130242,35425,2077913,1359190,718723,18741,53255,102528,245053,1562,21674,141464,134446,272253,5445,590,10100,16731,108845,10935,0,110986,8621,1689129,1551637,137492,55522,27198,28324,0,0
Maryland,2016,20894199,748389,8939430,4504242,4435188,31627,650293,552526,1017769,1173,137537,395266,1648997,884363,1446,1415,103860,17883,492753,36597,0,228582,1827,9646537,8517529,1129008,675480,261922,200858,0,212700
Massachusetts,2016,27283005,5818,8683866,6089860,2594006,83395,66844,406796,766553,1326,24929,640839,603324,1122219,3450,14916,26922,5532,464428,99051,0,324481,183439,16764223,14430331,2333892,706879,399429,307450,0,0
Michigan,2016,27608542,2060543,13331382,9263616,4067766,156499,112867,329805,1017267,3802,29026,946468,1472032,1648758,18655,0,23574,63237,1060521,58711,30983,162342,230735,10254907,9202587,1052320,312952,1,289314,23637,0
Minnesota,2016,25189128,849824,10120647,5583910,4536737,88352,56310,457876,901156,522,54,650042,2382425,1426235,2580,1161,8201,64581,741938,47452,934,499122,60266,12248267,10732570,1515697,544155,182499,226485,49711,85460
Mississippi,2016,7660391,26725,4777794,3297760,1480034,42352,133847,317659,443578,0,1602,145931,395065,553510,1306,35337,144283,2731,158029,15272,7292,129892,59368,2263164,1800053,463111,39198,4,0,39194,0
Missouri,2016,12297119,30892,5302264,3536396,1765868,36849,367814,400734,717178,0,0,101944,141349,599276,5359,2178,13430,34369,289124,17356,19842,143496,74122,6352437,6023701,328736,12250,56,12102,9,83
Montana,2016,2627943,278497,562474,0,562474,31907,60392,98463,186083,44,43995,86289,55301,319020,3374,7576,4282,32517,144973,8573,12,107039,10674,1300011,1181042,118969,167941,0,0,164373,3568
Nebraska,2016,5117133,123,2362718,1783498,579220,30520,5800,65465,342004,160,49288,61258,24725,185082,648,1589,16213,14608,104287,10838,0,35843,1056,2552391,2244719,307672,16819,0,14292,2527,0
Nevada,2016,8026362,280055,6347777,4266267,2081510,45098,930045,310223,315897,3,23357,174663,282224,652383,0,88907,75726,12817,196610,30859,0,242794,4670,0,0,0,746147,0,81683,102686,561778
New Hampshire,2016,2641946,406394,982832,0,982832,12850,427,113473,144930,922,58206,226482,425542,329549,18056,288,59010,11742,116127,5849,16989,100049,1439,788210,87973,700237,134961,0,134961,0,0
New Jersey,2016,31546720,4638,13173332,9267703,3905629,138799,209417,605447,554473,0,964738,677216,755539,1499889,4199,42181,247721,14062,642537,55873,6961,485336,1019,15585479,13355992,2229487,1283382,769688,513694,0,0
New Mexico,2016,5275438,37084,2930004,2085366,844638,37084,73000,214688,245447,1298,29552,82826,160743,342527,0,653,25706,25738,234806,12325,1720,41579,0,1406524,1313648,92876,559299,1,0,559296,2
New York,2016,81349860,0,24790017,13534170,11255847,299931,1231,1539422,1612425,19778,914309,1247078,5621673,1794988,61706,0,24047,45235,1357552,158562,19380,127046,1460,50686339,46504528,4181811,4078516,1364261,1299841,0,1414414
North Carolina,2016,26212531,0,11149894,7187844,3962050,378744,0,503407,1936102,0,122,286286,857389,1878827,25140,184,609468,34310,714464,134435,20640,314788,25398,13109468,12042957,1066511,74342,4493,67888,1961,0
North Dakota,2016,3709105,3910,1496824,1017269,479555,9026,3406,65113,196837,1566,46455,30757,126395,204055,381,756,0,19306,119473,4226,6,59907,0,454194,351125,103069,1550122,0,0,1550122,0
Ohio,2016,28694883,0,18231167,12226504,6004663,100712,269267,579408,1855699,5628,1156646,1008798,1028505,2223747,42501,37833,237487,37695,769085,78821,27863,943758,48704,8202432,8169197,33235,37537,2154,0,35383,0
